Cycle ID,Cycle time [mS],Origin Addr,Destiny Addr,Distance (m),RX Power (dBm),Active
159,394,C1,B3,3.41,-70.39,1
159,394,C1,B4,-999.00,-999.00,0
159,394,B3,B2,-999.00,-999.00,0
159,394,B3,B4,13.61,-91.04,1
159,394,C1,B2,-999.00,-999.00,0
159,394,B4,B2,14.23,-98.30,1
160,394,C1,B3,4.02,-88.25,1
160,394,C1,B4,-999.00,-999.00,0
160,394,B3,B2,-999.00,-999.00,0
160,394,B3,B4,13.56,-90.45,1
160,394,C1,B2,-999.00,-999.00,0
160,394,B4,B2,14.24,-98.72,1
161,612,C1,B3,4.66,-75.67,1
161,612,C1,B4,-999.00,-999.00,0
161,612,B3,B2,-999.00,-999.00,0
161,612,B3,B4,13.45,-92.79,1
161,612,C1,B2,-999.00,-999.00,0
161,612,B4,B2,-999.00,-999.00,0
162,891,C1,B3,3.54,-89.66,1
162,891,C1,B4,-999.00,-999.00,0
162,891,B3,B2,-999.00,-999.00,0
162,891,B3,B4,-999.00,-999.00,0
162,891,C1,B2,-999.00,-999.00,0
162,891,B4,B2,-999.00,-999.00,0
163,146,C1,B3,4.44,-81.82,1
163,146,C1,B4,-999.00,-999.00,0
163,146,B3,B2,-999.00,-999.00,0
163,146,B3,B4,-999.00,-999.00,0
163,146,C1,B2,-999.00,-999.00,0
163,146,B4,B2,-999.00,-999.00,0
164,503,C1,B3,4.59,-78.24,1
164,503,C1,B4,-999.00,-999.00,0
164,503,B3,B2,-999.00,-999.00,0
164,503,B3,B4,13.59,-90.07,1
164,503,C1,B2,-999.00,-999.00,0
164,503,B4,B2,14.29,-97.32,1
165,752,C1,B3,4.84,-77.10,1
165,752,C1,B4,15.17,-97.43,1
165,752,B3,B2,-999.00,-999.00,0
165,752,B3,B4,13.56,-91.11,1
165,752,C1,B2,-999.00,-999.00,0
165,752,B4,B2,14.30,-97.98,1
166,949,C1,B3,5.87,-72.92,1
166,949,C1,B4,16.12,-99.53,1
166,949,B3,B2,-999.00,-999.00,0
166,949,B3,B4,-999.00,-999.00,0
166,949,C1,B2,-999.00,-999.00,0
166,949,B4,B2,-999.00,-999.00,0
167,826,C1,B3,7.36,-82.61,1
167,826,C1,B4,17.88,-97.88,1
167,826,B3,B2,26.83,-99.62,1
167,826,B3,B4,13.53,-90.51,1
167,826,C1,B2,-999.00,-999.00,0
167,826,B4,B2,14.26,-98.25,1
168,718,C1,B3,7.80,-92.51,1
168,718,C1,B4,18.42,-98.62,1
168,718,B3,B2,26.96,-92.71,1
